llmModel,iteration,finalScore
qwen2.5:3b,0,100
qwen2.5:3b,1,100
qwen2.5:3b,2,75
qwen2.5:3b,3,30
qwen2.5:3b,4,21
qwen2.5:3b,5,17
qwen2.5:3b,6,23
qwen2.5:3b,7,100
qwen2.5:3b,8,70
qwen2.5:3b,9,100
qwen2.5:3b,10,89
qwen2.5:3b,11,16
qwen2.5:3b,12,100
qwen2.5:3b,13,87
qwen2.5:3b,14,60
qwen2.5:3b,15,87
qwen2.5:3b,16,70
qwen2.5:3b,17,87
qwen2.5:3b,18,20
qwen2.5:3b,19,37
qwen2.5:3b,20,37
qwen2.5:3b,21,47
qwen2.5:3b,22,37
qwen2.5:3b,23,20
qwen2.5:3b,24,20
qwen2.5:3b,25,37
qwen2.5:3b,26,30
qwen2.5:3b,27,60
qwen2.5:3b,28,42
qwen2.5:3b,29,40
qwen2.5:3b,30,87
qwen2.5:3b,31,75
qwen2.5:3b,32,87
qwen2.5:3b,33,100
qwen2.5:3b,34,70
qwen2.5:3b,35,47
qwen2.5:3b,36,84
qwen2.5:3b,37,70
qwen2.5:3b,38,80
qwen2.5:3b,39,100
qwen2.5:3b,40,37
qwen2.5:3b,41,37
qwen2.5:3b,42,19
qwen2.5:3b,43,100
qwen2.5:3b,44,100
qwen2.5:3b,45,100
qwen2.5:3b,46,24
qwen2.5:3b,47,100
qwen2.5:3b,48,27
qwen2.5:3b,49,40
qwen2.5:3b,50,85
qwen2.5:3b,51,45
qwen2.5:3b,52,100
qwen2.5:3b,53,100
qwen2.5:3b,54,100
qwen2.5:3b,55,100
qwen2.5:3b,56,20
qwen2.5:3b,57,70
qwen2.5:3b,58,100
qwen2.5:3b,59,100
qwen2.5:3b,60,90
qwen2.5:3b,61,17
qwen2.5:3b,62,14
qwen2.5:3b,63,100
qwen2.5:3b,64,83
qwen2.5:3b,65,15
qwen2.5:3b,66,80
qwen2.5:3b,67,50
qwen2.5:3b,68,30
qwen2.5:3b,69,80
qwen2.5:3b,70,100
qwen2.5:3b,71,50
qwen2.5:3b,72,0
qwen2.5:3b,73,37
qwen2.5:3b,74,67
qwen2.5:3b,75,60
qwen2.5:3b,76,100
qwen2.5:3b,77,20
qwen2.5:3b,78,16
qwen2.5:3b,79,100
qwen2.5:3b,80,87
qwen2.5:3b,81,80
qwen2.5:3b,82,100
qwen2.5:3b,83,21
qwen2.5:3b,84,30
qwen2.5:3b,85,20
qwen2.5:3b,86,100
qwen2.5:3b,87,27
qwen2.5:3b,88,37
qwen2.5:3b,89,70
qwen2.5:3b,90,16
qwen2.5:3b,91,100
qwen2.5:3b,92,0
qwen2.5:3b,93,70
qwen2.5:3b,94,90
qwen2.5:3b,95,100
qwen2.5:3b,96,100
qwen2.5:3b,97,100
qwen2.5:3b,98,57
qwen2.5:3b,99,70
qwen2.5:3b,100,40
qwen2.5:3b,101,89
qwen2.5:3b,102,70
qwen2.5:3b,103,67
qwen2.5:3b,104,37
qwen2.5:3b,105,37
qwen2.5:3b,106,70
qwen2.5:3b,107,100
qwen2.5:3b,108,100
qwen2.5:3b,109,82
qwen2.5:3b,110,57
qwen2.5:3b,111,50
qwen2.5:3b,112,30
qwen2.5:3b,113,10
qwen2.5:3b,114,50
qwen2.5:3b,115,20
qwen2.5:3b,116,100
qwen2.5:3b,117,100
qwen2.5:3b,118,81
qwen2.5:3b,119,100
qwen2.5:3b,120,100
qwen2.5:3b,121,100
qwen2.5:3b,122,100
qwen2.5:3b,123,87
qwen2.5:3b,124,100
qwen2.5:3b,125,16
qwen2.5:3b,126,100
qwen2.5:3b,127,21
qwen2.5:3b,128,30
qwen2.5:3b,129,16
qwen2.5:3b,130,1
qwen2.5:3b,131,100
qwen2.5:3b,132,85
qwen2.5:3b,133,90
qwen2.5:3b,134,100
qwen2.5:3b,135,16
qwen2.5:3b,136,16
qwen2.5:3b,137,100
qwen2.5:3b,138,77
qwen2.5:3b,139,87
qwen2.5:3b,140,32
qwen2.5:3b,141,14
qwen2.5:3b,142,90
qwen2.5:3b,143,16
qwen2.5:3b,144,70
qwen2.5:3b,145,47
qwen2.5:3b,146,100
qwen2.5:3b,147,16
qwen2.5:3b,148,23
qwen2.5:3b,149,42
qwen2.5:3b,150,100
qwen2.5:3b,151,100
qwen2.5:3b,152,20
qwen2.5:3b,153,100
qwen2.5:3b,154,75
qwen2.5:3b,155,74
qwen2.5:3b,156,63
qwen2.5:3b,157,27
qwen2.5:3b,158,100
qwen2.5:3b,159,40
qwen2.5:3b,160,100
qwen2.5:3b,161,34
qwen2.5:3b,162,100
qwen2.5:3b,163,30
qwen2.5:3b,164,100
qwen2.5:3b,165,49
qwen2.5:3b,166,75
qwen2.5:3b,167,27
qwen2.5:3b,168,100
qwen2.5:3b,169,80
qwen2.5:3b,170,70
qwen2.5:3b,171,76
qwen2.5:3b,172,37
qwen2.5:3b,173,100
qwen2.5:3b,174,47
qwen2.5:3b,175,14
qwen2.5:3b,176,70
qwen2.5:3b,177,57
qwen2.5:3b,178,100
qwen2.5:3b,179,70
qwen2.5:3b,180,67
qwen2.5:3b,181,90
qwen2.5:3b,182,73
qwen2.5:3b,183,14
qwen2.5:3b,184,100
qwen2.5:3b,185,80
qwen2.5:3b,186,70
qwen2.5:3b,187,40
qwen2.5:3b,188,60
qwen2.5:3b,189,100
qwen2.5:3b,190,40
qwen2.5:3b,191,87
qwen2.5:3b,192,100
qwen2.5:3b,193,87
qwen2.5:3b,194,0
qwen2.5:3b,195,100
qwen2.5:3b,196,100
qwen2.5:3b,197,40
qwen2.5:3b,198,18
qwen2.5:3b,199,90
qwen2.5:3b,200,75
qwen2.5:3b,201,37
qwen2.5:3b,202,100
qwen2.5:3b,203,82
qwen2.5:3b,204,100
qwen2.5:3b,205,100
qwen2.5:3b,206,80
qwen2.5:3b,207,37
qwen2.5:3b,208,15
qwen2.5:3b,209,30
qwen2.5:3b,210,47
qwen2.5:3b,211,13
qwen2.5:3b,212,80
qwen2.5:3b,213,100
qwen2.5:3b,214,87
qwen2.5:3b,215,16
qwen2.5:3b,216,47
qwen2.5:3b,217,100
qwen2.5:3b,218,21
qwen2.5:3b,219,100
qwen2.5:3b,220,30
qwen2.5:3b,221,90
qwen2.5:3b,222,90
qwen2.5:3b,223,90
qwen2.5:3b,224,30
qwen2.5:3b,225,100
qwen2.5:3b,226,100
qwen2.5:3b,227,57
qwen2.5:3b,228,70
qwen2.5:3b,229,27
qwen2.5:3b,230,15
qwen2.5:3b,231,21
qwen2.5:3b,232,100
qwen2.5:3b,233,16
qwen2.5:3b,234,5
qwen2.5:3b,235,20
qwen2.5:3b,236,31
qwen2.5:3b,237,37
qwen2.5:3b,238,85
qwen2.5:3b,239,77
qwen2.5:3b,240,97
qwen2.5:3b,241,100
qwen2.5:3b,242,35
qwen2.5:3b,243,30
qwen2.5:3b,244,100
qwen2.5:3b,245,47
qwen2.5:3b,246,42
qwen2.5:3b,247,85
qwen2.5:3b,248,100
qwen2.5:3b,249,57
qwen2.5:3b,250,84
qwen2.5:3b,251,90
qwen2.5:3b,252,17
qwen2.5:3b,253,21
qwen2.5:3b,254,85
qwen2.5:3b,255,60
qwen2.5:3b,256,60
qwen2.5:3b,257,20
qwen2.5:3b,258,73
qwen2.5:3b,259,100
qwen2.5:3b,260,50
qwen2.5:3b,261,27
qwen2.5:3b,262,100
qwen2.5:3b,263,27
qwen2.5:3b,264,80
qwen2.5:3b,265,47
qwen2.5:3b,266,100
qwen2.5:3b,267,20
qwen2.5:3b,268,21
qwen2.5:3b,269,21
qwen2.5:3b,270,16
qwen2.5:3b,271,50
qwen2.5:3b,272,13
qwen2.5:3b,273,3
qwen2.5:3b,274,30
qwen2.5:3b,275,77
qwen2.5:3b,276,15
qwen2.5:3b,277,98
qwen2.5:3b,278,100
qwen2.5:3b,279,14
qwen2.5:3b,280,14
qwen2.5:3b,281,96
qwen2.5:3b,282,70
qwen2.5:3b,283,100
qwen2.5:3b,284,21
qwen2.5:3b,285,100
qwen2.5:3b,286,87
qwen2.5:3b,287,90
qwen2.5:3b,288,37
qwen2.5:3b,289,87
qwen2.5:3b,290,55
qwen2.5:3b,291,64
qwen2.5:3b,292,80
qwen2.5:3b,293,47
qwen2.5:3b,294,90
qwen2.5:3b,295,100
qwen2.5:3b,296,70
qwen2.5:3b,297,70
qwen2.5:3b,298,85
qwen2.5:3b,299,86
qwen2.5:3b,300,67
qwen2.5:3b,301,47
qwen2.5:3b,302,91
qwen2.5:3b,303,84
qwen2.5:3b,304,70
qwen2.5:3b,305,47
qwen2.5:3b,306,27
qwen2.5:3b,307,30
qwen2.5:3b,308,100
qwen2.5:3b,309,10
qwen2.5:3b,310,100
qwen2.5:3b,311,75
qwen2.5:3b,312,80
qwen2.5:3b,313,50
qwen2.5:3b,314,47
qwen2.5:3b,315,30
qwen2.5:3b,316,20
qwen2.5:3b,317,100
qwen2.5:3b,318,100
qwen2.5:3b,319,30
qwen2.5:3b,320,42
qwen2.5:3b,321,70
qwen2.5:3b,322,89
qwen2.5:3b,323,70
qwen2.5:3b,324,70
qwen2.5:3b,325,30
qwen2.5:3b,326,100
qwen2.5:3b,327,100
qwen2.5:3b,328,100
qwen2.5:3b,329,47
qwen2.5:3b,330,100
qwen2.5:3b,331,100
qwen2.5:3b,332,40
qwen2.5:3b,333,100
qwen2.5:3b,334,100
qwen2.5:3b,335,84
qwen2.5:3b,336,30
qwen2.5:3b,337,100
qwen2.5:3b,338,15
qwen2.5:3b,339,80
qwen2.5:3b,340,100
qwen2.5:3b,341,70
qwen2.5:3b,342,70
qwen2.5:3b,343,20
qwen2.5:3b,344,21
qwen2.5:3b,345,15
qwen2.5:3b,346,24
qwen2.5:3b,347,100
qwen2.5:3b,348,21
qwen2.5:3b,349,47
qwen2.5:3b,350,87
qwen2.5:3b,351,80
qwen2.5:3b,352,70
qwen2.5:3b,353,37
qwen2.5:3b,354,91
qwen2.5:3b,355,100
qwen2.5:3b,356,70
qwen2.5:3b,357,30
qwen2.5:3b,358,27
qwen2.5:3b,359,37
qwen2.5:3b,360,21
qwen2.5:3b,361,47
qwen2.5:3b,362,100
qwen2.5:3b,363,40
qwen2.5:3b,364,100
qwen2.5:3b,365,16
qwen2.5:3b,366,100
qwen2.5:3b,367,49
qwen2.5:3b,368,100
qwen2.5:3b,369,14
qwen2.5:3b,370,20
qwen2.5:3b,371,37
qwen2.5:3b,372,47
qwen2.5:3b,373,47
qwen2.5:3b,374,80
qwen2.5:3b,375,70
qwen2.5:3b,376,27
qwen2.5:3b,377,29
qwen2.5:3b,378,30
qwen2.5:3b,379,100
qwen2.5:3b,380,100
qwen2.5:3b,381,100
qwen2.5:3b,382,42
qwen2.5:3b,383,14
qwen2.5:3b,384,47
qwen2.5:3b,385,15
qwen2.5:3b,386,47
qwen2.5:3b,387,45
qwen2.5:3b,388,70
qwen2.5:3b,389,57
qwen2.5:3b,390,47
qwen2.5:3b,391,25
qwen2.5:3b,392,18
qwen2.5:3b,393,52
qwen2.5:3b,394,100
qwen2.5:3b,395,100
qwen2.5:3b,396,70
qwen2.5:3b,397,100
qwen2.5:3b,398,91
qwen2.5:3b,399,80
qwen2.5:3b,400,82
qwen2.5:3b,401,70
qwen2.5:3b,402,100
qwen2.5:3b,403,57
qwen2.5:3b,404,100
qwen2.5:3b,405,100
qwen2.5:3b,406,37
qwen2.5:3b,407,80
qwen2.5:3b,408,21
qwen2.5:3b,409,80
qwen2.5:3b,410,2
qwen2.5:3b,411,90
qwen2.5:3b,412,100
qwen2.5:3b,413,37
qwen2.5:3b,414,27
qwen2.5:3b,415,0
qwen2.5:3b,416,20
qwen2.5:3b,417,16
qwen2.5:3b,418,70
qwen2.5:3b,419,47
qwen2.5:3b,420,37
qwen2.5:3b,421,100
qwen2.5:3b,422,100
qwen2.5:3b,423,100
qwen2.5:3b,424,16
qwen2.5:3b,425,100
qwen2.5:3b,426,100
qwen2.5:3b,427,40
qwen2.5:3b,428,70
qwen2.5:3b,429,100
qwen2.5:3b,430,47
qwen2.5:3b,431,53
qwen2.5:3b,432,50
qwen2.5:3b,433,37
qwen2.5:3b,434,13
qwen2.5:3b,435,27
qwen2.5:3b,436,85
qwen2.5:3b,437,93
qwen2.5:3b,438,37
qwen2.5:3b,439,90
qwen2.5:3b,440,57
qwen2.5:3b,441,28
qwen2.5:3b,442,80
qwen2.5:3b,443,100
qwen2.5:3b,444,92
qwen2.5:3b,445,20
qwen2.5:3b,446,10
qwen2.5:3b,447,70
qwen2.5:3b,448,17
qwen2.5:3b,449,60
qwen2.5:3b,450,62
qwen2.5:3b,451,100
qwen2.5:3b,452,90
qwen2.5:3b,453,14
qwen2.5:3b,454,87
qwen2.5:3b,455,25
qwen2.5:3b,456,84
qwen2.5:3b,457,30
qwen2.5:3b,458,100
qwen2.5:3b,459,27
qwen2.5:3b,460,14
qwen2.5:3b,461,80
qwen2.5:3b,462,100
qwen2.5:3b,463,80
qwen2.5:3b,464,87
qwen2.5:3b,465,87
qwen2.5:3b,466,70
qwen2.5:3b,467,100
qwen2.5:3b,468,72
qwen2.5:3b,469,100
qwen2.5:3b,470,40
qwen2.5:3b,471,47
qwen2.5:3b,472,80
qwen2.5:3b,473,50
qwen2.5:3b,474,100
qwen2.5:3b,475,80
qwen2.5:3b,476,47
qwen2.5:3b,477,47
qwen2.5:3b,478,100
qwen2.5:3b,479,100
qwen2.5:3b,480,37
qwen2.5:3b,481,70
qwen2.5:3b,482,100
qwen2.5:3b,483,100
qwen2.5:3b,484,80
qwen2.5:3b,485,47
qwen2.5:3b,486,100
qwen2.5:3b,487,57
qwen2.5:3b,488,47
qwen2.5:3b,489,100
qwen2.5:3b,490,47
qwen2.5:3b,491,40
qwen2.5:3b,492,87
qwen2.5:3b,493,57
qwen2.5:3b,494,37
qwen2.5:3b,495,37
qwen2.5:3b,496,100
qwen2.5:3b,497,50
qwen2.5:3b,498,47
qwen2.5:3b,499,70
qwen2.5:3b,500,100
qwen2.5:3b,501,21
qwen2.5:3b,502,90
qwen2.5:3b,503,30
qwen2.5:3b,504,63
qwen2.5:3b,505,30
qwen2.5:3b,506,14
qwen2.5:3b,507,30
qwen2.5:3b,508,100
qwen2.5:3b,509,53
qwen2.5:3b,510,70
qwen2.5:3b,511,70
qwen2.5:3b,512,87
qwen2.5:3b,513,90
qwen2.5:3b,514,17
qwen2.5:3b,515,90
qwen2.5:3b,516,90
qwen2.5:3b,517,80
qwen2.5:3b,518,15
qwen2.5:3b,519,80
qwen2.5:3b,520,20
qwen2.5:3b,521,100
qwen2.5:3b,522,100
qwen2.5:3b,523,100
qwen2.5:3b,524,50
qwen2.5:3b,525,20
qwen2.5:3b,526,80
qwen2.5:3b,527,70
qwen2.5:3b,528,10
qwen2.5:3b,529,100
qwen2.5:3b,530,30
qwen2.5:3b,531,30
qwen2.5:3b,532,20
qwen2.5:3b,533,17
qwen2.5:3b,534,21
qwen2.5:3b,535,70
qwen2.5:3b,536,10
qwen2.5:3b,537,100
qwen2.5:3b,538,30
qwen2.5:3b,539,30
qwen2.5:3b,540,30
qwen2.5:3b,541,60
qwen2.5:3b,542,80
qwen2.5:3b,543,80
qwen2.5:3b,544,40
qwen2.5:3b,545,10
qwen2.5:3b,546,14
qwen2.5:3b,547,16
qwen2.5:3b,548,100
qwen2.5:3b,549,47
qwen2.5:3b,550,50
qwen2.5:3b,551,50
qwen2.5:3b,552,100
qwen2.5:3b,553,15
qwen2.5:3b,554,10
qwen2.5:3b,555,30
qwen2.5:3b,556,10
qwen2.5:3b,557,27
qwen2.5:3b,558,20
qwen2.5:3b,559,20
qwen2.5:3b,560,15
qwen2.5:3b,561,23
qwen2.5:3b,562,30
qwen2.5:3b,563,100
qwen2.5:3b,564,100
qwen2.5:3b,565,83
qwen2.5:3b,566,17
qwen2.5:3b,567,100
qwen2.5:3b,568,100
qwen2.5:3b,569,100
qwen2.5:3b,570,15
qwen2.5:3b,571,37
qwen2.5:3b,572,70
qwen2.5:3b,573,30
qwen2.5:3b,574,27
qwen2.5:3b,575,100
qwen2.5:3b,576,78
qwen2.5:3b,577,47
qwen2.5:3b,578,13
qwen2.5:3b,579,70
qwen2.5:3b,580,100
qwen2.5:3b,581,80
qwen2.5:3b,582,70
qwen2.5:3b,583,18
qwen2.5:3b,584,100
qwen2.5:3b,585,37
qwen2.5:3b,586,37
qwen2.5:3b,587,100
qwen2.5:3b,588,30
qwen2.5:3b,589,83
qwen2.5:3b,590,75
qwen2.5:3b,591,100
qwen2.5:3b,592,20
qwen2.5:3b,593,100
qwen2.5:3b,594,20
qwen2.5:3b,595,80
qwen2.5:3b,596,85
qwen2.5:3b,597,95
qwen2.5:3b,598,20
qwen2.5:3b,599,100
qwen2.5:3b,600,78
qwen2.5:3b,601,57
qwen2.5:3b,602,90
qwen2.5:3b,603,0
qwen2.5:3b,604,14
qwen2.5:3b,605,83
qwen2.5:3b,606,94
qwen2.5:3b,607,29
qwen2.5:3b,608,49
qwen2.5:3b,609,37
qwen2.5:3b,610,48
qwen2.5:3b,611,100
qwen2.5:3b,612,37
qwen2.5:3b,613,70
qwen2.5:3b,614,90
qwen2.5:3b,615,100
qwen2.5:3b,616,57
qwen2.5:3b,617,21
qwen2.5:3b,618,37
qwen2.5:3b,619,90
qwen2.5:3b,620,24
qwen2.5:3b,621,47
qwen2.5:3b,622,16
qwen2.5:3b,623,37
qwen2.5:3b,624,80
qwen2.5:3b,625,100
qwen2.5:3b,626,32
qwen2.5:3b,627,47
qwen2.5:3b,628,75
qwen2.5:3b,629,0
qwen2.5:3b,630,70
qwen2.5:3b,631,30
qwen2.5:3b,632,70
qwen2.5:3b,633,30
qwen2.5:3b,634,90
qwen2.5:3b,635,30
qwen2.5:3b,636,89
qwen2.5:3b,637,100
qwen2.5:3b,638,100
qwen2.5:3b,639,37
qwen2.5:3b,640,83
qwen2.5:3b,641,100
qwen2.5:3b,642,50
qwen2.5:3b,643,5
qwen2.5:3b,644,37
qwen2.5:3b,645,49
qwen2.5:3b,646,70
qwen2.5:3b,647,40
qwen2.5:3b,648,70
qwen2.5:3b,649,100
qwen2.5:3b,650,42
qwen2.5:3b,651,100
qwen2.5:3b,652,37
qwen2.5:3b,653,37
qwen2.5:3b,654,30
qwen2.5:3b,655,14
qwen2.5:3b,656,100
qwen2.5:3b,657,27
qwen2.5:3b,658,85
qwen2.5:3b,659,20
qwen2.5:3b,660,100
qwen2.5:3b,661,14
qwen2.5:3b,662,85
qwen2.5:3b,663,100
qwen2.5:3b,664,100
qwen2.5:3b,665,80
qwen2.5:3b,666,70
qwen2.5:3b,667,87
qwen2.5:3b,668,47
qwen2.5:3b,669,80
qwen2.5:3b,670,100
qwen2.5:3b,671,75
qwen2.5:3b,672,27
qwen2.5:3b,673,81
qwen2.5:3b,674,70
qwen2.5:3b,675,40
qwen2.5:3b,676,20
qwen2.5:3b,677,80
qwen2.5:3b,678,27
qwen2.5:3b,679,47
qwen2.5:3b,680,27
qwen2.5:3b,681,100
qwen2.5:3b,682,87
qwen2.5:3b,683,100
qwen2.5:3b,684,47
qwen2.5:3b,685,20
qwen2.5:3b,686,21
qwen2.5:3b,687,100
